GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1218455632,2025-01-01,202501,2025,05,1,3.4,-7.54716981132076,BEN,UNKNOWN,BN,5,5,négatif,0,1,stable,coopération,générique,1,0.4604,2.0736,4,9,28,0.6211316510745228,-1.325615037267539,-0.220265754905513,1, Événements neutres
1218457982,2025-01-01,202501,2025,01,1,0.0,-8.48287112561177,BEN,GOV,BN,10,5,négatif,0,1,neutre,coopération,générique,1,0.6161,4.2414,0,9,8,-0.1194324183829714,-1.5305381911036484,1.0087040421784956,1, Événements neutres
1218458164,2025-01-01,202501,2025,04,1,1.0,-7.84313725490196,UNKNOWN,GOV,BN,3,3,négatif,0,1,neutre,coopération,générique,1,0.3562,3.4216,3,116,8,0.09838054322217397,-1.3904333516646132,-0.7118536737391165,1, Événements neutres
1218458722,2025-01-01,202501,2025,19,4,-10.0,-0.81276339554485,UNKNOWN,GOV,BN,10,10,neutre,1,0,très_instable,conflit,générique,1,0.6161,5.4064,18,116,8,-2.297562034434425,0.1492528301358493,1.0087040421784956,0, Conflits & tensions
1218458897,2025-01-01,202501,2025,12,3,-5.0,-0.81276339554485,TZA,UNKNOWN,BN,10,10,neutre,1,0,très_instable,coopération,générique,1,0.6161,2.9064,11,113,28,-1.2084972264086984,0.1492528301358493,1.0087040421784956,0, Conflits & tensions
1218466358,2025-01-01,202501,2025,03,1,4.0,-7.90123456790123,BEN,GOV,BN,4,4,négatif,0,1,stable,coopération,générique,1,0.4135,1.9506,2,9,8,0.7518194280376101,-1.4031569467129272,-0.46605971432231474,1, Événements neutres
1218466360,2025-01-01,202501,2025,11,3,-2.0,-7.90123456790123,BEN,GOV,BN,10,10,négatif,0,1,instable,coopération,générique,1,0.6161,4.9506,10,9,8,-0.5550583415932622,-1.4031569467129272,1.0087040421784956,0, Conflits & tensions
1218466361,2025-01-01,202501,2025,14,3,-6.5,-7.90123456790123,BEN,GOV,BN,10,10,négatif,0,1,très_instable,conflit,générique,1,0.6161,7.2006,13,9,8,-1.5352166688164164,-1.4031569467129272,1.0087040421784956,0, Conflits & tensions
1218465489,2025-01-01,202501,2025,10,3,-5.0,3.21637426900585,BEN,UNKNOWN,BN,1,1,positif,1,2,très_instable,coopération,générique,1,0.1781,4.1082,9,9,28,-1.2084972264086984,1.031653639934005,-1.20344159257272,0, Conflits & tensions
1218465493,2025-01-01,202501,2025,05,1,3.4,3.21637426900585,BEN,GOV,BN,1,1,positif,1,2,stable,coopération,générique,1,0.1781,-0.0918,4,9,8,0.6211316510745228,1.031653639934005,-1.20344159257272,1, Événements neutres
1218465636,2025-01-01,202501,2025,05,1,3.4,3.21637426900585,UNKNOWN,GOV,BN,6,6,positif,1,2,stable,coopération,générique,1,0.5,-0.0918,4,116,8,0.6211316510745228,1.031653639934005,0.025528204511288705,1, Événements neutres
1218465641,2025-01-01,202501,2025,11,3,-2.0,3.21637426900585,UNKNOWN,GOV,BN,3,3,positif,1,2,instable,coopération,générique,1,0.3562,2.6082,10,116,8,-0.5550583415932622,1.031653639934005,-0.7118536737391165,0, Conflits & tensions
1218465644,2025-01-01,202501,2025,11,3,-2.0,3.21637426900585,UNKNOWN,GOV,BN,3,3,positif,1,2,instable,coopération,générique,1,0.3562,2.6082,10,116,8,-0.5550583415932622,1.031653639934005,-0.7118536737391165,0, Conflits & tensions
1218466356,2025-01-01,202501,2025,01,1,0.0,-7.90123456790123,BEN,GOV,BN,6,6,négatif,0,1,neutre,coopération,générique,1,0.5,3.9506,0,9,8,-0.1194324183829714,-1.4031569467129272,0.025528204511288705,1, Événements neutres
1218466359,2025-01-01,202501,2025,03,1,4.0,-7.90123456790123,BEN,GOV,BN,1,1,négatif,0,1,stable,coopération,générique,1,0.1781,1.9506,2,9,8,0.7518194280376101,-1.4031569467129272,-1.20344159257272,1, Événements neutres
1218457897,2025-01-01,202501,2025,01,1,0.0,-8.48287112561177,UNKNOWN,UNKNOWN,BN,9,5,négatif,0,1,neutre,coopération,générique,1,0.5916,4.2414,0,116,28,-0.1194324183829714,-1.5305381911036484,0.7629100827616938,1, Événements neutres
1218457899,2025-01-01,202501,2025,14,3,-6.5,-8.48287112561177,UNKNOWN,UNKNOWN,BN,9,5,négatif,0,1,très_instable,conflit,générique,1,0.5916,7.4914,13,116,28,-1.5352166688164164,-1.5305381911036484,0.7629100827616938,0, Conflits & tensions
1218466347,2025-01-01,202501,2025,04,1,1.0,-7.90123456790123,BEN,UNKNOWN,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,3.4506,3,9,28,0.09838054322217397,-1.4031569467129272,-0.9576476331559182,1, Événements neutres
1218466354,2025-01-01,202501,2025,01,1,0.0,-7.90123456790123,BEN,UNKNOWN,BN,1,1,négatif,0,1,neutre,coopération,générique,1,0.1781,3.9506,0,9,28,-0.1194324183829714,-1.4031569467129272,-1.20344159257272,1, Événements neutres
1218466786,2025-01-01,202501,2025,11,3,-2.0,-7.90123456790123,UNKNOWN,UAF,BN,1,1,négatif,0,1,instable,coopération,générique,1,0.1781,4.9506,10,116,26,-0.5550583415932622,-1.4031569467129272,-1.20344159257272,0, Conflits & tensions
1218465490,2025-01-01,202501,2025,17,4,-5.0,3.21637426900585,BEN,UNKNOWN,BN,5,5,positif,1,2,très_instable,conflit,générique,1,0.4604,4.1082,16,9,28,-1.2084972264086984,1.031653639934005,-0.220265754905513,0, Conflits & tensions
1218465491,2025-01-01,202501,2025,17,4,-5.0,3.21637426900585,BEN,UNKNOWN,BN,5,5,positif,1,2,très_instable,conflit,générique,1,0.4604,4.1082,16,9,28,-1.2084972264086984,1.031653639934005,-0.220265754905513,0, Conflits & tensions
1218465492,2025-01-01,202501,2025,04,1,1.9,3.21637426900585,BEN,UNKNOWN,BN,1,1,positif,1,2,stable,coopération,générique,1,0.1781,0.6582,3,9,28,0.2944122086668048,1.031653639934005,-1.20344159257272,1, Événements neutres
1218465494,2025-01-01,202501,2025,05,1,3.4,3.21637426900585,BEN,GOV,BN,1,1,positif,1,2,stable,coopération,générique,1,0.1781,-0.0918,4,9,8,0.6211316510745228,1.031653639934005,-1.20344159257272,1, Événements neutres
1218465495,2025-01-01,202501,2025,11,3,-2.0,3.21637426900585,BEN,GOV,BN,1,1,positif,1,2,instable,coopération,générique,1,0.1781,2.6082,10,9,8,-0.5550583415932622,1.031653639934005,-1.20344159257272,0, Conflits & tensions
1218465496,2025-01-01,202501,2025,11,3,-2.0,3.21637426900585,BEN,GOV,BN,1,1,positif,1,2,instable,coopération,générique,1,0.1781,2.6082,10,9,8,-0.5550583415932622,1.031653639934005,-1.20344159257272,0, Conflits & tensions
1218465497,2025-01-01,202501,2025,04,1,1.9,3.21637426900585,BEN,GOV,BN,1,1,positif,1,2,stable,coopération,générique,1,0.1781,0.6582,3,9,8,0.2944122086668048,1.031653639934005,-1.20344159257272,1, Événements neutres
1218465565,2025-01-01,202501,2025,05,1,3.4,3.21637426900585,UNKNOWN,CVL,BN,10,10,positif,1,2,stable,coopération,générique,1,0.6161,-0.0918,4,116,4,0.6211316510745228,1.031653639934005,1.0087040421784956,1, Événements neutres
1218465576,2025-01-01,202501,2025,05,1,3.4,3.21637426900585,UNKNOWN,CVL,BN,10,10,positif,1,2,stable,coopération,générique,1,0.6161,-0.0918,4,116,4,0.6211316510745228,1.031653639934005,1.0087040421784956,1, Événements neutres
1218465648,2025-01-01,202501,2025,05,1,3.4,3.21637426900585,UNKNOWN,GOV,BN,2,2,positif,1,2,stable,coopération,générique,1,0.2823,-0.0918,4,116,8,0.6211316510745228,1.031653639934005,-0.9576476331559182,1, Événements neutres
1218465649,2025-01-01,202501,2025,11,3,-2.0,3.21637426900585,UNKNOWN,GOV,BN,1,1,positif,1,2,instable,coopération,générique,1,0.1781,2.6082,10,116,8,-0.5550583415932622,1.031653639934005,-1.20344159257272,0, Conflits & tensions
1218465650,2025-01-01,202501,2025,11,3,-2.0,3.21637426900585,UNKNOWN,GOV,BN,1,1,positif,1,2,instable,coopération,générique,1,0.1781,2.6082,10,116,8,-0.5550583415932622,1.031653639934005,-1.20344159257272,0, Conflits & tensions
1218465675,2025-01-01,202501,2025,04,1,1.9,3.21637426900585,UNKNOWN,GOV,BN,8,8,positif,1,2,stable,coopération,générique,1,0.5646,0.6582,3,116,8,0.2944122086668048,1.031653639934005,0.5171161233448921,1, Événements neutres
1218465944,2025-01-01,202501,2025,04,1,2.8,3.21637426900585,UNKNOWN,UNKNOWN,BN,1,1,positif,1,2,stable,coopération,générique,1,0.1781,0.2082,3,116,28,0.49044387411143564,1.031653639934005,-1.20344159257272,1, Événements neutres
1218465945,2025-01-01,202501,2025,04,1,2.8,3.21637426900585,UNKNOWN,UNKNOWN,BN,1,1,positif,1,2,stable,coopération,générique,1,0.1781,0.2082,3,116,28,0.49044387411143564,1.031653639934005,-1.20344159257272,1, Événements neutres
1218465946,2025-01-01,202501,2025,04,1,2.8,3.21637426900585,UNKNOWN,UNKNOWN,BN,8,8,positif,1,2,stable,coopération,générique,1,0.5646,0.2082,3,116,28,0.49044387411143564,1.031653639934005,0.5171161233448921,1, Événements neutres
1218466648,2025-01-01,202501,2025,04,1,1.0,-7.90123456790123,UNKNOWN,MED,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,3.4506,3,116,17,0.09838054322217397,-1.4031569467129272,-0.9576476331559182,1, Événements neutres
1218466787,2025-01-01,202501,2025,11,3,-2.0,-7.90123456790123,UNKNOWN,UAF,BN,2,2,négatif,0,1,instable,coopération,générique,1,0.2823,4.9506,10,116,26,-0.5550583415932622,-1.4031569467129272,-0.9576476331559182,0, Conflits & tensions
1218466348,2025-01-01,202501,2025,04,1,1.0,-7.90123456790123,BEN,UNKNOWN,BN,3,3,négatif,0,1,neutre,coopération,générique,1,0.3562,3.4506,3,9,28,0.09838054322217397,-1.4031569467129272,-0.7118536737391165,1, Événements neutres
1218466355,2025-01-01,202501,2025,01,1,0.0,-7.90123456790123,BEN,UNKNOWN,BN,1,1,négatif,0,1,neutre,coopération,générique,1,0.1781,3.9506,0,9,28,-0.1194324183829714,-1.4031569467129272,-1.20344159257272,1, Événements neutres
1218466533,2025-01-01,202501,2025,04,1,1.0,-7.90123456790123,UNKNOWN,GOV,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,3.4506,3,116,8,0.09838054322217397,-1.4031569467129272,-0.9576476331559182,1, Événements neutres
1218466346,2025-01-01,202501,2025,01,1,0.0,-7.90123456790123,BEN,UNKNOWN,BN,1,1,négatif,0,1,neutre,coopération,générique,1,0.1781,3.9506,0,9,28,-0.1194324183829714,-1.4031569467129272,-1.20344159257272,1, Événements neutres
1218466353,2025-01-01,202501,2025,05,1,8.0,-7.90123456790123,BEN,UNKNOWN,BN,2,2,négatif,0,1,très_stable,coopération,générique,1,0.2823,-0.0494,4,9,28,1.6230712744581914,-1.4031569467129272,-0.9576476331559182,1, Événements neutres
1218466685,2025-01-01,202501,2025,05,1,8.0,-7.90123456790123,NER,UNKNOWN,BN,2,2,négatif,0,1,très_stable,coopération,générique,1,0.2823,-0.0494,4,81,28,1.6230712744581914,-1.4031569467129272,-0.9576476331559182,1, Événements neutres
