GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,FractionDate,IsRootEvent,ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,Actor1Geo_CountryCode,Actor2Geo_CountryCode,Actor1CountryCode,Actor2CountryCode,Actor1Name,Actor2Name,Actor1Type1Code,Actor2Type1Code,Actor1KnownGroupCode,Actor2KnownGroupCode,EventRootCode,EventBaseCode,EventCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,SOURCEURL
1218455632,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,,,,,05,051,051,1,3.4,5,1,5,-7.54716981132076,https://dailypost.ng/2025/01/01/terrorism-allegations-benin-summons-nigers-envoy/
1218457982,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,GOV,,,,01,010,010,1,0.0,10,1,5,-8.48287112561177,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
1218458164,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,,,,DIPLOMAT,,GOV,,,,04,040,040,1,1.0,3,1,3,-7.84313725490196,https://www.thecable.ng/benin-republic-summons-nigerien-envoy-over-terrorism-allegations/
1218458722,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,,,GOVERNANCE,,GOV,,,,19,193,193,4,-10.0,10,1,10,-0.81276339554485,https://kaloumpresse.com/2019/05/27/nouvelle-constitution-en-guinee-une-contribution-au-debat-pr-maurice-togba-zogbelemou/
1218458897,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,TZA,,TANZANIA,,,,,,12,128,128,3,-5.0,10,1,10,-0.81276339554485,https://kaloumpresse.com/2019/05/27/nouvelle-constitution-en-guinee-une-contribution-au-debat-pr-maurice-togba-zogbelemou/
1218466358,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,GOV,,,,03,030,030,1,4.0,4,1,4,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466360,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,GOV,,,,11,114,114,3,-2.0,10,1,10,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466361,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,GOV,,,,14,141,141,3,-6.5,10,1,10,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218465489,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,,,,,10,105,1053,3,-5.0,1,1,1,3.21637426900585,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465493,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,GOV,,,,05,051,051,1,3.4,1,1,1,3.21637426900585,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465636,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,,,GOVERNOR,,GOV,,,,05,051,051,1,3.4,6,1,6,3.21637426900585,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465641,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,,,GOVERNOR,,GOV,,,,11,110,110,3,-2.0,3,1,3,3.21637426900585,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465644,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,,,,GOVERNOR,,GOV,,,,11,111,111,3,-2.0,3,1,3,3.21637426900585,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218466356,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,NG,,BEN,,BENIN,,GOV,,,,01,010,010,1,0.0,6,1,6,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466359,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,NG,,BEN,,BENIN,,GOV,,,,03,030,030,1,4.0,1,1,1,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218457897,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,,BN,,BEN,,BENIN,,,,,01,010,010,1,0.0,9,1,5,-8.48287112561177,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
1218457899,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,,BN,,BEN,,BENIN,,,,,14,141,141,3,-6.5,9,1,5,-8.48287112561177,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
1218466347,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,NER,BENIN,NIGERIEN,,,,,04,040,040,1,1.0,2,1,2,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466354,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,,BENIN,TERRORIST,,UAF,,,01,010,010,1,0.0,1,1,1,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466786,20250101,202501,2025,2025.0027,0,BN,Benin,BN,9.5,2.25,BN,BN,,BEN,TERRORIST,BENIN,UAF,,,,11,112,112,3,-2.0,1,1,1,-7.90123456790123,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218465490,20250101,202501,2025,2025.0027,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,,BENIN,RESIDENTS,,CVL,,,17,173,173,4,-5.0,5,1,5,3.21637426900585,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
