GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,FractionDate,IsRootEvent,ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,Actor1Geo_CountryCode,Actor2Geo_CountryCode,Actor1CountryCode,Actor2CountryCode,Actor1Name,Actor2Name,Actor1Type1Code,Actor2Type1Code,Actor1KnownGroupCode,Actor2KnownGroupCode,EventRootCode,EventBaseCode,EventCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,SOURCEURL,mois,trimestre,annee,mois_annee,jour_semaine,ton_categorie,goldstein_categorie,quadclass_label,zone_benin,source_domaine
1281664740,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,,BEN,,BENIN,,,,,,4,43,43,1,2.8,10,1,10,-1.095890411,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,12,4,2025,2025-12,2,negatif,cooperatif,cooperation_verbale,sud,rewmi.com
1281664663,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,,BN,,BEN,,BENIN,,,,,4,42,42,1,1.9,10,1,10,-1.095890411,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,12,4,2025,2025-12,2,negatif,cooperatif,cooperation_verbale,sud,rewmi.com
1281698938,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,BEN,BENIN,BENIN,,MIL,,,19,190,190,4,-10.0,2,1,2,-9.768009768,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,12,4,2025,2025-12,2,tres_negatif,tres_conflictuel,conflit_materiel,sud,firstpost.com
1281698939,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,,BENIN,LIEUTENANT COLONEL,,MIL,,,19,190,190,4,-10.0,8,1,8,-9.768009768,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,12,4,2025,2025-12,2,tres_negatif,tres_conflictuel,conflit_materiel,sud,firstpost.com
1281698940,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,BEN,BENIN,BENIN,MIL,,,,19,190,190,4,-10.0,2,1,2,-9.768009768,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,12,4,2025,2025-12,2,tres_negatif,tres_conflictuel,conflit_materiel,sud,firstpost.com
1281699529,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,BN,,BEN,LIEUTENANT COLONEL,BENIN,MIL,,,,19,190,190,4,-10.0,8,1,8,-9.768009768,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html,12,4,2025,2025-12,2,tres_negatif,tres_conflictuel,conflit_materiel,sud,firstpost.com
1281686235,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,BN,SEN,BEN,SENEGAL,BENIN,,,,,2,20,20,1,3.0,10,1,10,-1.020408163,https://fr.allafrica.com/view/group/main/main/id/00095248.html,12,4,2025,2025-12,2,negatif,cooperatif,cooperation_verbale,sud,fr.allafrica.com
1281679676,2025-12-31,202512,2025,2025.989,0,BN,Benin,BN,9.5,2.25,BN,BN,BEN,TGO,BENIN,TOGO,,,,,8,80,80,2,5.0,2,1,2,-7.817969662,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,12,4,2025,2025-12,2,tres_negatif,tres_cooperatif,cooperation_materielle,sud,aa.com.tr
1281679678,2025-12-31,202512,2025,2025.989,0,BN,Benin,BN,9.5,2.25,BN,BN,BEN,TGO,BENIN,TOGO,,,,,11,110,110,3,-2.0,2,1,2,-7.817969662,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,12,4,2025,2025-12,2,tres_negatif,conflictuel,conflit_verbal,sud,aa.com.tr
1281679680,2025-12-31,202512,2025,2025.989,0,BN,Benin,BN,9.5,2.25,BN,BN,BEN,,ALASSANE SEIDOU,GOVERNMENT,GOV,GOV,,,6,60,60,2,6.0,2,1,2,-7.817969662,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,12,4,2025,2025-12,2,tres_negatif,tres_cooperatif,cooperation_materielle,sud,aa.com.tr
1281680224,2025-12-31,202512,2025,2025.989,1,BN,Benin,BN,9.5,2.25,BN,BN,MDG,BEN,MADAGASCAR,BENIN,,,,,11,110,110,3,-2.0,1,1,1,-7.817969662,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,12,4,2025,2025-12,2,tres_negatif,conflictuel,conflit_verbal,sud,aa.com.tr
1281667640,2025-12-31,202512,2025,2025.989,0,BN,Benin,BN,9.5,2.25,BN,BN,BEN,WAF,BENIN,UEMOA,,IGO,,UEM,7,71,71,2,7.4,20,2,20,-3.197057278,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html,12,4,2025,2025-12,2,tres_negatif,tres_cooperatif,cooperation_materielle,sud,leral.net
1281696726,2025-12-31,202512,2025,2025.989,0,BN,Benin,BN,9.5,2.25,SG,BN,BEN,WAF,BENIN,UEMOA,,IGO,,UEM,7,71,71,2,7.4,2,1,2,-2.564102564,https://fr.allafrica.com/stories/202512310244.html,12,4,2025,2025-12,2,negatif,tres_cooperatif,cooperation_materielle,sud,fr.allafrica.com
1281679679,2025-12-31,202512,2025,2025.989,0,BN,Benin,BN,9.5,2.25,BN,TO,BEN,TGO,BENIN,TOGO,,,,,11,110,110,3,-2.0,2,1,2,-7.817969662,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062,12,4,2025,2025-12,2,tres_negatif,conflictuel,conflit_verbal,sud,aa.com.tr
1299592500,2025-04-16,202504,2025,2025.2904,1,BN,Benin,BN,9.5,2.25,BN,BN,BEN,,BENIN,REBELLION,,REB,,,10,100,100,3,-5.0,6,1,6,-12.5,https://article.wn.com/view/2026/04/16/Benin_activist_wanted_for_inciting_rebellion_arrested_in_S_A/,4,2,2025,2025-04,2,tres_negatif,conflictuel,conflit_verbal,sud,article.wn.com
