GLOBALEVENTID,SQLDATE,Actor1CountryCode,EventRootCode,GoldsteinScale,AvgTone,ActionGeo_CountryCode
1293185721,20250309,,19,-10.0,-5.15021459227467,BN
1297200929,20250401,USA,01,0.0,-5.55555555555555,BN
1292975459,20250307,,19,-10.0,-5.81761006289308,BN
1298901629,20250413,,05,3.4,-6.82196339434276,BN
1290366412,20250221,,18,-9.0,-8.92857142857142,BN
1281664740,20251231,BEN,04,2.8,-1.09589041095891,BN
1281675550,20251231,,01,0.0,-9.57746478873238,BN
1281675733,20251231,,17,-9.2,-9.57746478873238,BN
1281680079,20251231,,01,-0.4,-7.81796966161027,BN
1281667763,20251231,,02,3.0,-3.19705727798214,BN
1281668456,20251231,,09,-2.0,-5.65428109854608,BN
1281664663,20251231,,04,1.9,-1.09589041095891,BN
1281698938,20251231,BEN,19,-10.0,-9.76800976800972,BN
1281698939,20251231,BEN,19,-10.0,-9.76800976800972,BN
1281698940,20251231,BEN,19,-10.0,-9.76800976800972,BN
1281699529,20251231,,19,-10.0,-9.76800976800972,BN
1281665043,20251231,,01,0.0,-1.09589041095891,BN
1281686235,20251231,SEN,02,3.0,-1.0204081632653,BN
1281675309,20251231,,17,-5.0,-9.57746478873238,BN
1281675553,20251231,,01,0.0,-9.57746478873238,BN
1281679676,20251231,BEN,08,5.0,-7.81796966161027,BN
1281679678,20251231,BEN,11,-2.0,-7.81796966161027,BN
1281679680,20251231,BEN,06,6.0,-7.81796966161027,BN
1281680224,20251231,MDG,11,-2.0,-7.81796966161027,BN
1281667640,20251231,BEN,07,7.4,-3.19705727798214,BN
1281696726,20251231,BEN,07,7.4,-2.56410256410257,BN
1281679679,20251231,BEN,11,-2.0,-7.81796966161027,BN
1299592500,20250416,BEN,10,-5.0,-12.5,BN
1299547593,20250416,FRA,05,3.4,-6.82926829268293,BN
1299547601,20250416,NGA,05,3.4,-6.82926829268293,BN
1299592501,20250416,BEN,10,-5.0,-12.5,BN
1218521770,20250102,BEN,02,3.0,1.09649122807017,BN
1218521771,20250102,BEN,04,1.0,1.09649122807017,BN
1218522119,20250102,,04,1.9,1.09649122807017,BN
1218578906,20250102,BEN,11,-2.0,-7.46268656716418,BN
1218592086,20250102,,01,0.0,-2.96846011131725,BN
1218592087,20250102,,06,6.0,-2.96846011131725,BN
1218586154,20250102,BEN,11,-2.0,-8.88501742160278,BN
1218586354,20250102,,01,0.0,-7.76641252975471,BN
1218586510,20250102,,01,0.0,-8.88501742160278,BN
